number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate
722,29.5,6.4,278.2,23,2,0.09,0.3
1689,47.5,13,345,34,9,0.26,0.67
363,6.5,1,39,55,0,0,0
507,27.2,7.1,221.8,18,1,0.06,0.58
635,35.5,11.1,465.1,17,4,0.24,0.84
2175,20.6,4.3,185.9,99,5,0.05,0.09
2175,20.6,4.3,185.9,99,5,0.05,0.09
110,16,2.5,147.8,6,0,0,0
442,8.8,2.7,81.3,38,0,0,0
926,36.1,7.5,266.8,24,2,0.08,0.3
240,14.3,1.8,112.9,15,0,0,0
1927,35.8,4.7,364.5,49,2,0.04,0.37
303,10.5,2.9,58.1,18,0,0,0
138,24.6,9.6,199,5,1,0.2,0.62
138,24.6,9.6,199,5,1,0.2,0.62
227,28.9,3.3,319.7,7,0,0,0
251,15.8,3.2,146.6,14,0,0,0
27,7.7,1,53.7,3,0,0,0
634,41.5,4.7,6634.5,15,1,0.07,0.23
254,18.1,2.3,120.6,13,0,0,0
100,17.8,2.2,155.8,5,0,0,0
190,0,0,0,1,0,0,0
1618,10.6,1,96.6,150,0,0,0
1689,47.5,13,345,34,9,0.26,0.67
182,15.6,1.6,115.9,9,0,0,0
880,40.6,3,503.9,21,0,0,0
587,21.8,2.2,191.2,25,0,0,0
319,10,3.5,71,26,1,0.04,0.49
587,21.8,2.2,191.2,25,0,0,0
224,0,0,0,1,0,0,0
1259,24.5,8.1,215.9,46,6,0.13,0.29
2949,30.9,9.2,266.6,94,14,0.15,0.36
658,10.1,3.3,107.8,61,1,0.02,0.09
968,22.1,4.3,223.1,41,3,0.07,0.17
2175,20.6,4.3,185.9,99,5,0.05,0.09
1048,33.1,3.5,366.8,29,1,0.03,0.28
359,8.4,2.6,65.8,41,0,0,0
932,31.9,10.5,336.8,27,7,0.26,0.63
2461,9,3.4,57.6,269,10,0.04,0.17
188,22.7,6.3,224.1,7,0,0,0
384,42.3,6.8,426.8,9,1,0.11,0.46
345,11.6,2.3,110.1,25,0,0,0
26,0,0,0,1,0,0,0
674,24.5,3.3,264.8,26,0,0,0
739,9.3,1.2,93.1,64,0,0,0
507,27.2,7.1,221.8,18,1,0.06,0.58
391,31.9,4.3,433.8,12,0,0,0
188,22.7,6.3,224.1,7,0,0,0
102,12.7,1.7,146.7,3,0,0,0
2461,9,3.4,57.6,269,10,0.04,0.17
195,46.5,18.5,429.8,4,2,0.5,0.68
1259,24.5,8.1,215.9,46,6,0.13,0.29
507,27.2,7.1,221.8,18,1,0.06,0.58
1348,24.7,5.4,210,54,3,0.06,0.16
203,19.8,3.4,177.9,9,0,0,0
618,26,5.5,153.3,20,2,0.1,0.62
33,0,0,0,1,0,0,0
674,24.5,3.3,264.8,26,0,0,0
314,18.6,4.8,134.2,14,1,0.07,0.53
2071,10.9,3.2,68.5,172,6,0.03,0.28
601,117.4,18.8,1343.2,5,1,0.2,0.44
69,19.3,4.3,130.3,3,0,0,0
1689,47.5,13,345,34,9,0.26,0.67
2461,9,3.4,57.6,269,10,0.04,0.17
969,20.4,5.2,202.2,46,5,0.11,0.43
33,0,0,0,1,0,0,0
2336,10.7,2.4,73.4,216,0,0,0
2071,10.9,3.2,68.5,172,6,0.03,0.28
2071,10.9,3.2,68.5,172,6,0.03,0.28
203,19.8,3.4,177.9,9,0,0,0
926,36.1,7.5,266.8,24,2,0.08,0.3
2461,9,3.4,57.6,269,10,0.04,0.17
2461,9,3.4,57.6,269,10,0.04,0.17
969,20.4,5.2,202.2,46,5,0.11,0.43
2597,24.8,6,143.8,96,7,0.07,0.53
273,13.1,2.4,120.4,14,0,0,0
2461,9,3.4,57.6,269,10,0.04,0.17
2461,9,3.4,57.6,269,10,0.04,0.17
1689,47.5,13,345,34,9,0.26,0.67
2772,21.7,6.5,124.3,113,14,0.12,0.46
1689,47.5,13,345,34,9,0.26,0.67
1470,10,4,66.8,145,8,0.06,0.23
1470,10,4,66.8,145,8,0.06,0.23
1689,47.5,13,345,34,9,0.26,0.67
587,21.8,2.2,191.2,25,0,0,0
1322,62.3,14.7,414.1,20,6,0.3,0.72
2461,9,3.4,57.6,269,10,0.04,0.17
2461,9,3.4,57.6,269,10,0.04,0.17
2461,9,3.4,57.6,269,10,0.04,0.17
1661,33.8,6.4,244.8,47,6,0.13,0.35
644,39.2,10.7,232.8,16,2,0.12,0.7
1689,47.5,13,345,34,9,0.26,0.67
1689,47.5,13,345,34,9,0.26,0.67
739,9.3,1.2,93.1,64,0,0,0
1689,47.5,13,345,34,9,0.26,0.67
27,7.7,1,53.7,3,0,0,0
3403,28.4,5.7,252.7,114,9,0.08,0.24
142,16.8,3.6,140,8,0,0,0
240,14.3,1.8,112.9,15,0,0,0
1689,47.5,13,345,34,9,0.26,0.67
2186,52,10.4,357.2,41,9,0.22,0.6
1689,47.5,13,345,34,9,0.26,0.67
1304,13,3.1,119.5,86,1,0.01,0.07
1445,15.7,2.7,135.4,79,1,0.01,0.11
57,9,2,62.5,4,0,0,0
