number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate,code_quality_rate
203,19.8,3.4,177.9,9,0,0,0,medium
110,16,2.5,147.8,6,0,0,0,good
736,36.2,7.5,353.9,19,2,0.11,0.3,not bad
1689,47.5,13,345,34,9,0.26,0.67,not bad
402,10.9,4.6,96.5,26,1,0.04,0.21,not bad
1725,90.1,21.6,810.7,19,3,0.16,0.71,worst
82,18,4,169,4,0,0,0,medium
100,17.8,2.2,155.8,5,0,0,0,good
1689,47.5,13,345,34,9,0.26,0.67,not bad
293,24.5,7.8,276.8,11,2,0.18,0.29,not bad
3403,28.4,5.7,252.7,114,9,0.08,0.24,not bad
1979,8.5,2.3,66.2,178,2,0.01,0.05,not bad
722,29.5,6.4,278.2,23,2,0.09,0.3,not bad
1689,47.5,13,345,34,9,0.26,0.67,not bad
363,6.5,1,39,55,0,0,0,good
507,27.2,7.1,221.8,18,1,0.06,0.58,not bad
635,35.5,11.1,465.1,17,4,0.24,0.84,not bad
2175,20.6,4.3,185.9,99,5,0.05,0.09,not bad
2175,20.6,4.3,185.9,99,5,0.05,0.09,not bad
110,16,2.5,147.8,6,0,0,0,good
442,8.8,2.7,81.3,38,0,0,0,good
926,36.1,7.5,266.8,24,2,0.08,0.3,not bad
240,14.3,1.8,112.9,15,0,0,0,good
1927,35.8,4.7,364.5,49,2,0.04,0.37,not bad
303,10.5,2.9,58.1,18,0,0,0,great
138,24.6,9.6,199,5,1,0.2,0.62,not bad
138,24.6,9.6,199,5,1,0.2,0.62,not bad
227,28.9,3.3,319.7,7,0,0,0,medium
251,15.8,3.2,146.6,14,0,0,0,good
27,7.7,1,53.7,3,0,0,0,best
634,41.5,4.7,6634.5,15,1,0.07,0.23,not bad
254,18.1,2.3,120.6,13,0,0,0,good
100,17.8,2.2,155.8,5,0,0,0,good
190,0,0,0,1,0,0,0,the best
1618,10.6,1,96.6,150,0,0,0,not bad
1689,47.5,13,345,34,9,0.26,0.67,not bad
182,15.6,1.6,115.9,9,0,0,0,good
880,40.6,3,503.9,21,0,0,0,not bad
587,21.8,2.2,191.2,25,0,0,0,medium
319,10,3.5,71,26,1,0.04,0.49,not bad
587,21.8,2.2,191.2,25,0,0,0,medium
224,0,0,0,1,0,0,0,the best
1259,24.5,8.1,215.9,46,6,0.13,0.29,not bad
2949,30.9,9.2,266.6,94,14,0.15,0.36,medium
658,10.1,3.3,107.8,61,1,0.02,0.09,not bad
968,22.1,4.3,223.1,41,3,0.07,0.17,not bad
2175,20.6,4.3,185.9,99,5,0.05,0.09,not bad
1048,33.1,3.5,366.8,29,1,0.03,0.28,not bad
359,8.4,2.6,65.8,41,0,0,0,good
932,31.9,10.5,336.8,27,7,0.26,0.63,not bad
2461,9,3.4,57.6,269,10,0.04,0.17,not bad
188,22.7,6.3,224.1,7,0,0,0,medium
384,42.3,6.8,426.8,9,1,0.11,0.46,not bad
345,11.6,2.3,110.1,25,0,0,0,good
26,0,0,0,1,0,0,0,the best
674,24.5,3.3,264.8,26,0,0,0,medium
739,9.3,1.2,93.1,64,0,0,0,medium
507,27.2,7.1,221.8,18,1,0.06,0.58,not bad
391,31.9,4.3,433.8,12,0,0,0,not bad
