number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate,code_quality_rate
119.0,6.7,1.1,65.1,14.0,0.0,0.0,0.0,great
333.0,5.9,1.0,48.8,34.0,0.0,0.0,0.0,good
638.0,7.8,1.0,77.5,69.0,0.0,0.0,0.0,medium
346.0,9.2,2.6,59.2,32.0,0.0,0.0,0.0,great
156.0,12.6,3.5,80.9,10.0,0.0,0.0,0.0,good
657.0,5.4,1.8,34.0,95.0,1.0,0.01,0.05,not bad
489.0,7.5,1.1,60.0,46.0,0.0,0.0,0.0,good
333.0,5.9,1.0,48.8,34.0,0.0,0.0,0.0,good
58.0,6.8,2.2,51.5,6.0,0.0,0.0,0.0,best
189.0,7.0,2.2,41.0,21.0,0.0,0.0,0.0,best
122.0,5.2,1.4,28.9,20.0,0.0,0.0,0.0,best
127.0,4.6,1.4,23.4,19.0,0.0,0.0,0.0,best
416.0,5.8,1.1,45.6,50.0,0.0,0.0,0.0,good
638.0,7.8,1.0,77.5,69.0,0.0,0.0,0.0,medium
424.0,11.7,1.0,125.0,30.0,0.0,0.0,0.0,good
187.0,8.6,3.1,61.4,17.0,0.0,0.0,0.0,great
664.0,10.1,1.0,112.2,58.0,0.0,0.0,0.0,medium
464.0,9.3,3.2,57.9,43.0,0.0,0.0,0.0,good
87.0,6.7,1.6,52.4,9.0,0.0,0.0,0.0,best
882.0,5.1,1.3,32.1,129.0,0.0,0.0,0.0,not bad
882.0,5.1,1.3,32.1,129.0,0.0,0.0,0.0,not bad
501.0,8.2,1.0,79.4,48.0,0.0,0.0,0.0,good
128.0,10.2,2.9,69.1,9.0,0.0,0.0,0.0,great
249.0,4.0,1.0,30.6,49.0,0.0,0.0,0.0,good
59.0,4.0,1.1,22.9,10.0,0.0,0.0,0.0,the best
236.0,6.6,1.0,70.2,27.0,0.0,0.0,0.0,great
236.0,6.6,1.0,70.2,27.0,0.0,0.0,0.0,great
291.0,7.1,2.6,49.5,31.0,0.0,0.0,0.0,great
8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the best
243.0,12.7,1.3,98.7,15.0,0.0,0.0,0.0,good
370.0,5.5,1.1,44.1,40.0,0.0,0.0,0.0,good
2964.0,9.6,1.1,88.2,267.0,0.0,0.0,0.0,bad
405.0,12.4,3.6,78.0,28.0,0.0,0.0,0.0,good
111.0,7.2,2.8,48.6,11.0,0.0,0.0,0.0,best
80.0,7.0,2.3,40.3,9.0,0.0,0.0,0.0,best
695.0,6.0,1.0,63.9,87.0,0.0,0.0,0.0,medium
113.0,5.6,1.9,32.2,15.0,0.0,0.0,0.0,best
256.0,12.2,4.3,91.1,16.0,2.0,0.12,0.5,not bad
107.0,14.0,1.0,152.0,4.0,0.0,0.0,0.0,good
279.0,6.2,1.1,48.0,33.0,0.0,0.0,0.0,great
208.0,8.1,1.0,63.7,20.0,0.0,0.0,0.0,great
140.0,5.2,1.6,29.9,22.0,0.0,0.0,0.0,best
189.0,13.5,1.6,102.7,11.0,0.0,0.0,0.0,good
31.0,7.0,1.0,33.0,1.0,0.0,0.0,0.0,the best
349.0,11.3,3.4,77.6,26.0,1.0,0.04,0.19,not bad
761.0,15.1,1.1,126.7,44.0,0.0,0.0,0.0,good
26.0,4.3,1.0,32.0,3.0,0.0,0.0,0.0,the best
138.0,5.9,1.4,41.9,16.0,0.0,0.0,0.0,best
26.0,15.0,1.0,161.0,1.0,0.0,0.0,0.0,good
312.0,11.3,1.0,129.0,21.0,0.0,0.0,0.0,good
66.0,4.4,1.1,26.3,12.0,0.0,0.0,0.0,best
672.0,9.7,3.2,67.0,64.0,1.0,0.02,0.1,not bad
103.0,6.8,1.0,51.5,10.0,0.0,0.0,0.0,best
58.0,8.0,2.0,53.2,4.0,0.0,0.0,0.0,best
484.0,6.8,1.1,53.6,47.0,0.0,0.0,0.0,good
369.0,10.6,1.1,100.4,28.0,0.0,0.0,0.0,good
20.0,8.0,1.0,26.0,1.0,0.0,0.0,0.0,the best
198.0,6.6,2.3,45.2,23.0,0.0,0.0,0.0,great
,,,,,,,,the best
258.0,13.1,1.1,142.9,10.0,0.0,0.0,0.0,good
184.0,10.3,1.2,84.2,12.0,0.0,0.0,0.0,good
398.0,12.0,1.1,124.8,30.0,0.0,0.0,0.0,good
604.0,9.5,1.0,84.4,48.0,0.0,0.0,0.0,good
115.0,8.5,1.1,75.5,8.0,0.0,0.0,0.0,great
847.0,9.6,2.7,68.5,73.0,0.0,0.0,0.0,medium
658.0,11.3,2.9,65.3,52.0,1.0,0.02,0.14,not bad
397.0,8.0,3.0,53.4,41.0,2.0,0.05,0.28,not bad
90.0,7.2,2.8,42.6,10.0,0.0,0.0,0.0,best
